#benchmark     deg overlap    max phi        CCT nodes    hot nodes    (%)          
amarok         0.000000000    0.001589551    13794470     0            0.000000000  
amarok         20.000000000   0.001589551    13794470     125          0.000906160  
amarok         36.000000000   0.001589551    13794470     226          0.001638338  
amarok         48.800000000   0.001589551    13794470     307          0.002225530  
amarok         59.040000000   0.001589551    13794470     371          0.002689484  
amarok         67.232000000   0.001589551    13794470     422          0.003059197  
amarok         73.785600000   0.000307069    13794470     481          0.003486905  
amarok         79.028480000   0.000009525    13794470     2573         0.018652402  
amarok         83.222784000   0.000003112    13794470     9535         0.069121902  
amarok         86.578227200   0.000001604    13794470     28278        0.204995190  
amarok         89.262581760   0.000001604    13794470     45010        0.326290173  
amarok         91.410065408   0.000001419    13794470     58744        0.425851809  
amarok         93.128052326   0.000001040    13794470     72396        0.524819004  
amarok         94.502441861   0.000000519    13794470     90289        0.654530402  
amarok         95.601953489   0.000000231    13794470     124846       0.905043833  
amarok         96.481562791   0.000000069    13794470     199893       1.449080682  
amarok         97.185250233   0.000000034    13794470     336789       2.441478361  
amarok         97.748200186   0.000000017    13794470     569489       4.128386230  
amarok         98.198560149   0.000000007    13794470     976825       7.081279672  
amarok         98.558848119   0.000000004    13794470     1659037      12.026826692 
amarok         98.847078495   0.000000002    13794470     2751735      19.948102392 
amarok         99.077662796   0.000000001    13794470     4653069      33.731408311 
amarok         99.262130237   0.000000001    13794470     6481349      46.985125199 
amarok         99.409704190   0.000000001    13794470     7943973      57.588098709 
amarok         99.527763352   0.000000001    13794470     9114072      66.070476068 
amarok         99.622210681   0.000000001    13794470     10050151     72.856376504 
amarok         99.697768545   0.000000001    13794470     10799015     78.285102653 
amarok         99.758214836   0.000000001    13794470     11398105     82.628074873 
amarok         99.806571869   0.000000001    13794470     11877378     86.102459899 
amarok         99.845257495   0.000000001    13794470     12260796     88.881965019 
amarok         100.000000000  0.000000000    13794470     13794470     100.000000000 
