#benchmark     deg overlap    max phi        CCT nodes    hot nodes    (%)          
ark            0.000000000    0.004006251    8171612      0            0.000000000  
ark            20.000000000   0.000573424    8171612      241          0.002949234  
ark            36.000000000   0.000572912    8171612      520          0.006363494  
ark            48.800000000   0.000572912    8171612      744          0.009104691  
ark            59.040000000   0.000571972    8171612      923          0.011295201  
ark            67.232000000   0.000571958    8171612      1066         0.013045162  
ark            73.785600000   0.000556742    8171612      1180         0.014440235  
ark            79.028480000   0.000012984    8171612      2222         0.027191697  
ark            83.222784000   0.000002255    8171612      14312        0.175142922  
ark            86.578227200   0.000001420    8171612      31240        0.382299111  
ark            89.262581760   0.000000558    8171612      60536        0.740808545  
ark            91.410065408   0.000000189    8171612      135406       1.657029237  
ark            93.128052326   0.000000078    8171612      287291       3.515720032  
ark            94.502441861   0.000000037    8171612      540190       6.610568392  
ark            95.601953489   0.000000023    8171612      914674       11.193311675 
ark            96.481562791   0.000000014    8171612      1412142      17.281070124 
ark            97.185250233   0.000000009    8171612      2120171      25.945566187 
ark            97.748200186   0.000000005    8171612      3287877      40.235353808 
ark            98.198560149   0.000000005    8171612      4264624      52.188283046 
ark            98.558848119   0.000000005    8171612      5046021      61.750619094 
ark            98.847078495   0.000000005    8171612      5671139      69.400492828 
ark            99.077662796   0.000000005    8171612      6171233      75.520386920 
ark            99.262130237   0.000000005    8171612      6571309      80.416311983 
ark            99.409704190   0.000000005    8171612      6891369      84.333042244 
ark            99.527763352   0.000000005    8171612      7147417      87.466426453 
ark            99.622210681   0.000000005    8171612      7352256      89.973141162 
ark            99.697768545   0.000000005    8171612      7516127      91.978510482 
ark            99.758214836   0.000000005    8171612      7647224      93.582808386 
ark            99.806571869   0.000000005    8171612      7752101      94.866239366 
ark            99.845257495   0.000000005    8171612      7836003      95.892989045 
ark            100.000000000  0.000000000    8171612      8171612      100.000000000 
