#benchmark     deg overlap    max phi        CCT nodes    hot nodes    (%)          
audacity       0.000000000    0.014172776    13131115     0            0.000000000  
audacity       20.000000000   0.014172776    13131115     14           0.000106617  
audacity       36.000000000   0.000284661    13131115     188          0.001431714  
audacity       48.800000000   0.000241955    13131115     670          0.005102385  
audacity       59.040000000   0.000159336    13131115     1131         0.008613130  
audacity       67.232000000   0.000055544    13131115     1997         0.015208153  
audacity       73.785600000   0.000017704    13131115     4195         0.031947020  
audacity       79.028480000   0.000009073    13131115     8198         0.062431865  
audacity       83.222784000   0.000005901    13131115     14316        0.109023491  
audacity       86.578227200   0.000002337    13131115     24223        0.184470245  
audacity       89.262581760   0.000001048    13131115     46667        0.355392516  
audacity       91.410065408   0.000000766    13131115     70188        0.534516680  
audacity       93.128052326   0.000000224    13131115     114834       0.874518272  
audacity       94.502441861   0.000000095    13131115     208293       1.586255242  
audacity       95.601953489   0.000000043    13131115     393346       2.995526275  
audacity       96.481562791   0.000000028    13131115     638001       4.858696310  
audacity       97.185250233   0.000000017    13131115     957041       7.288345278  
audacity       97.748200186   0.000000011    13131115     1364772      10.393420513 
audacity       98.198560149   0.000000006    13131115     1931821      14.711781901 
audacity       98.558848119   0.000000003    13131115     2672059      20.349064036 
audacity       98.847078495   0.000000002    13131115     3659168      27.866392153 
audacity       99.077662796   0.000000002    13131115     4725084      35.983874941 
audacity       99.262130237   0.000000001    13131115     6309255      48.048128434 
audacity       99.409704190   0.000000001    13131115     7673627      58.438502747 
audacity       99.527763352   0.000000001    13131115     8765124      66.750797628 
audacity       99.622210681   0.000000001    13131115     9638322      73.400636580 
audacity       99.697768545   0.000000001    13131115     10336880     78.720504694 
audacity       99.758214836   0.000000001    13131115     10895727     82.976403756 
audacity       99.806571869   0.000000001    13131115     11342804     86.381118435 
audacity       99.845257495   0.000000001    13131115     11700466     89.104893225 
audacity       100.000000000  0.000000000    13131115     13131115     100.000000000 
