#benchmark     deg overlap    max phi        CCT nodes    hot nodes    (%)          
bluefish       0.000000000    0.000597291    7274132      0            0.000000000  
bluefish       20.000000000   0.000057761    7274132      2838         0.039014964  
bluefish       36.000000000   0.000024730    7274132      6681         0.091846010  
bluefish       48.800000000   0.000008785    7274132      16030        0.220369936  
bluefish       59.040000000   0.000004960    7274132      31163        0.428408503  
bluefish       67.232000000   0.000002257    7274132      57413        0.789276301  
bluefish       73.785600000   0.000001801    7274132      89496        1.230332361  
bluefish       79.028480000   0.000001044    7274132      127533       1.753240112  
bluefish       83.222784000   0.000000508    7274132      189120       2.599897830  
bluefish       86.578227200   0.000000306    7274132      273954       3.766140070  
bluefish       89.262581760   0.000000165    7274132      393120       5.404356149  
bluefish       91.410065408   0.000000105    7274132      556928       7.656281189  
bluefish       93.128052326   0.000000069    7274132      759395       10.439664829 
bluefish       94.502441861   0.000000048    7274132      994225       13.667953785 
bluefish       95.601953489   0.000000032    7274132      1277232      17.558548566 
bluefish       96.481562791   0.000000024    7274132      1597178      21.956956514 
bluefish       97.185250233   0.000000016    7274132      1985946      27.301484218 
bluefish       97.748200186   0.000000008    7274132      2435304      33.478963538 
bluefish       98.198560149   0.000000008    7274132      2994115      41.161130978 
bluefish       98.558848119   0.000000004    7274132      3697735      50.834037656 
bluefish       98.847078495   0.000000004    7274132      4413014      60.667224626 
bluefish       99.077662796   0.000000004    7274132      4985237      68.533771452 
bluefish       99.262130237   0.000000004    7274132      5443016      74.827017162 
bluefish       99.409704190   0.000000004    7274132      5809239      79.861610980 
bluefish       99.527763352   0.000000004    7274132      6102217      83.889280535 
bluefish       99.622210681   0.000000004    7274132      6336600      87.111424428 
bluefish       99.697768545   0.000000004    7274132      6524106      89.689134044 
bluefish       99.758214836   0.000000004    7274132      6674111      91.751304486 
bluefish       99.806571869   0.000000004    7274132      6794115      93.401040839 
bluefish       99.845257495   0.000000004    7274132      6890118      94.720827172 
bluefish       100.000000000  0.000000000    7274132      7274132      100.000000000 
