#benchmark     deg overlap    max phi        CCT nodes    hot nodes    (%)          
dolphin        0.000000000    0.001686351    11667974     0            0.000000000  
dolphin        20.000000000   0.000033932    11667974     1889         0.016189614  
dolphin        36.000000000   0.000008743    11667974     13088        0.112170288  
dolphin        48.800000000   0.000004022    11667974     34416        0.294961233  
dolphin        59.040000000   0.000002084    11667974     72026        0.617296542  
dolphin        67.232000000   0.000001382    11667974     123099       1.055016064  
dolphin        73.785600000   0.000000615    11667974     194778       1.669338653  
dolphin        79.028480000   0.000000315    11667974     318821       2.732445239  
dolphin        83.222784000   0.000000197    11667974     490139       4.200720708  
dolphin        86.578227200   0.000000133    11667974     693316       5.942042723  
dolphin        89.262581760   0.000000092    11667974     937935       8.038542081  
dolphin        91.410065408   0.000000067    11667974     1217181      10.431811041 
dolphin        93.128052326   0.000000046    11667974     1529694      13.110193766 
dolphin        94.502441861   0.000000028    11667974     1917430      16.433272820 
dolphin        95.601953489   0.000000018    11667974     2385911      20.448374328 
dolphin        96.481562791   0.000000013    11667974     2943105      25.223787780 
dolphin        97.185250233   0.000000010    11667974     3567725      30.577073620 
dolphin        97.748200186   0.000000008    11667974     4287754      36.748059260 
dolphin        98.198560149   0.000000005    11667974     5166018      44.275192934 
dolphin        98.558848119   0.000000003    11667974     6045549      51.813185391 
dolphin        98.847078495   0.000000003    11667974     7170033      61.450539742 
dolphin        99.077662796   0.000000003    11667974     8069621      69.160430080 
dolphin        99.262130237   0.000000003    11667974     8789291      75.328338922 
dolphin        99.409704190   0.000000003    11667974     9365028      80.262674565 
dolphin        99.527763352   0.000000003    11667974     9825617      84.210137938 
dolphin        99.622210681   0.000000003    11667974     10194088     87.368106922 
dolphin        99.697768545   0.000000003    11667974     10488865     89.894483824 
dolphin        99.758214836   0.000000003    11667974     10724686     91.915580203 
dolphin        99.806571869   0.000000003    11667974     10913344     93.532467590 
dolphin        99.845257495   0.000000003    11667974     11064269     94.825965502 
dolphin        100.000000000  0.000000000    11667974     11667974     100.000000000 
