#benchmark     deg overlap    max phi        CCT nodes    hot nodes    (%)          
firefox        0.000000000    0.000441687    30294063     0            0.000000000  
firefox        20.000000000   0.000015389    30294063     6318         0.020855572  
firefox        36.000000000   0.000003916    30294063     27434        0.090558998  
firefox        48.800000000   0.000001310    30294063     88501        0.292139750  
firefox        59.040000000   0.000000526    30294063     216753       0.715496630  
firefox        67.232000000   0.000000262    30294063     438335       1.446933678  
firefox        73.785600000   0.000000134    30294063     789922       2.607514218  
firefox        79.028480000   0.000000077    30294063     1305129      4.308200587  
firefox        83.222784000   0.000000045    30294063     2031308      6.705300639  
firefox        86.578227200   0.000000027    30294063     3004136      9.916583325  
firefox        89.262581760   0.000000019    30294063     4230948      13.966261310 
firefox        91.410065408   0.000000013    30294063     5688845      18.778745525 
firefox        93.128052326   0.000000010    30294063     7302686      24.105997271 
firefox        94.502441861   0.000000008    30294063     8869769      29.278901942 
firefox        95.601953489   0.000000005    30294063     10630177     35.089967958 
firefox        96.481562791   0.000000003    30294063     12589615     41.558027393 
firefox        97.185250233   0.000000003    30294063     14789107     48.818499519 
firefox        97.748200186   0.000000003    30294063     16548701     54.626878541 
firefox        98.198560149   0.000000002    30294063     19032663     62.826379545 
firefox        98.558848119   0.000000002    30294063     21284942     70.261100335 
firefox        98.847078495   0.000000002    30294063     23086766     76.208879608 
firefox        99.077662796   0.000000002    30294063     24528225     80.967102366 
firefox        99.262130237   0.000000002    30294063     25681393     84.773683213 
firefox        99.409704190   0.000000002    30294063     26603926     87.818943270 
firefox        99.527763352   0.000000002    30294063     27341953     90.255153295 
firefox        99.622210681   0.000000002    30294063     27932375     92.204122636 
firefox        99.697768545   0.000000002    30294063     28404712     93.763296128 
firefox        99.758214836   0.000000002    30294063     28782582     95.010636242 
firefox        99.806571869   0.000000002    30294063     29084878     96.008508334 
firefox        99.845257495   0.000000002    30294063     29326715     96.806806667 
firefox        100.000000000  0.000000000    30294063     30294063     100.000000000 
