#benchmark     deg overlap    max phi        CCT nodes    hot nodes    (%)          
gedit          0.000000000    0.001003869    4183946      0            0.000000000  
gedit          20.000000000   0.000048884    4183946      1816         0.043404002  
gedit          36.000000000   0.000017602    4183946      7387         0.176555816  
gedit          48.800000000   0.000009571    4183946      18783        0.448930268  
gedit          59.040000000   0.000004888    4183946      35511        0.848744224  
gedit          67.232000000   0.000004378    4183946      52613        1.257497109  
gedit          73.785600000   0.000002606    4183946      72940        1.743330339  
gedit          79.028480000   0.000002172    4183946      94382        2.255813053  
gedit          83.222784000   0.000001613    4183946      115931       2.770853161  
gedit          86.578227200   0.000000880    4183946      143979       3.441225102  
gedit          89.262581760   0.000000461    4183946      186260       4.451778297  
gedit          91.410065408   0.000000375    4183946      236889       5.661856056  
gedit          93.128052326   0.000000223    4183946      292844       6.999229914  
gedit          94.502441861   0.000000154    4183946      368808       8.814836520  
gedit          95.601953489   0.000000108    4183946      451702       10.796076240 
gedit          96.481562791   0.000000078    4183946      550497       13.157363886 
gedit          97.185250233   0.000000059    4183946      655813       15.674509183 
gedit          97.748200186   0.000000037    4183946      774923       18.521343249 
gedit          98.198560149   0.000000025    4183946      929174       22.208078211 
gedit          98.558848119   0.000000017    4183946      1104668      26.402539612 
gedit          98.847078495   0.000000015    4183946      1274845      30.469920023 
gedit          99.077662796   0.000000012    4183946      1446104      34.563161188 
gedit          99.262130237   0.000000007    4183946      1630841      38.978538442 
gedit          99.409704190   0.000000005    4183946      1880957      44.956531466 
gedit          99.527763352   0.000000002    4183946      2257659      53.960041549 
gedit          99.622210681   0.000000002    4183946      2642916      63.168023679 
gedit          99.697768545   0.000000002    4183946      2951122      70.534418943 
gedit          99.758214836   0.000000002    4183946      3197687      76.427539935 
gedit          99.806571869   0.000000002    4183946      3394938      81.142012827 
gedit          99.845257495   0.000000002    4183946      3552739      84.913595921 
gedit          100.000000000  0.000000000    4183946      4183946      100.000000000 
