#benchmark     deg overlap    max phi        CCT nodes    hot nodes    (%)          
ghex2          0.000000000    0.001436937    1868555      0            0.000000000  
ghex2          20.000000000   0.000121498    1868555      806          0.043134936  
ghex2          36.000000000   0.000020336    1868555      4512         0.241470013  
ghex2          48.800000000   0.000014360    1868555      12725        0.681007517  
ghex2          59.040000000   0.000003791    1868555      26941        1.441809313  
ghex2          67.232000000   0.000003198    1868555      51970        2.781293566  
ghex2          73.785600000   0.000003198    1868555      72463        3.878023392  
ghex2          79.028480000   0.000002618    1868555      89628        4.796647677  
ghex2          83.222784000   0.000001469    1868555      111583       5.971619781  
ghex2          86.578227200   0.000001173    1868555      137104       7.337434542  
ghex2          89.262581760   0.000000630    1868555      168109       8.996738121  
ghex2          91.410065408   0.000000358    1868555      215277       11.521041661 
ghex2          93.128052326   0.000000296    1868555      267979       14.341509883 
ghex2          94.502441861   0.000000247    1868555      318262       17.032519781 
ghex2          95.601953489   0.000000198    1868555      369008       19.748308185 
ghex2          96.481562791   0.000000123    1868555      427454       22.876179722 
ghex2          97.185250233   0.000000074    1868555      499800       26.747941591 
ghex2          97.748200186   0.000000062    1868555      581288       31.108958527 
ghex2          98.198560149   0.000000049    1868555      665100       35.594349645 
ghex2          98.558848119   0.000000025    1868555      766003       40.994404767 
ghex2          98.847078495   0.000000012    1868555      934814       50.028712026 
ghex2          99.077662796   0.000000012    1868555      1121562      60.022958917 
ghex2          99.262130237   0.000000012    1868555      1270961      68.018388541 
ghex2          99.409704190   0.000000012    1868555      1390479      74.414668019 
ghex2          99.527763352   0.000000012    1868555      1486094      79.531723712 
ghex2          99.622210681   0.000000012    1868555      1562586      83.625368266 
ghex2          99.697768545   0.000000012    1868555      1623779      86.900251799 
ghex2          99.758214836   0.000000012    1868555      1672734      89.520190736 
ghex2          99.806571869   0.000000012    1868555      1711898      91.616141885 
ghex2          99.845257495   0.000000012    1868555      1743229      93.292892101 
ghex2          100.000000000  0.000000000    1868555      1868555      100.000000000 
