#benchmark     deg overlap    max phi        CCT nodes    hot nodes    (%)          
gimp           0.000000000    0.004576002    26107261     0            0.000000000  
gimp           20.000000000   0.000034156    26107261     2182         0.008357828  
gimp           36.000000000   0.000008184    26107261     12446        0.047672561  
gimp           48.800000000   0.000003040    26107261     36009        0.137927146  
gimp           59.040000000   0.000001402    26107261     89651        0.343394889  
gimp           67.232000000   0.000000706    26107261     174543       0.668561133  
gimp           73.785600000   0.000000350    26107261     312056       1.195284331  
gimp           79.028480000   0.000000203    26107261     517892       1.983708670  
gimp           83.222784000   0.000000113    26107261     788594       3.020592624  
gimp           86.578227200   0.000000058    26107261     1208771      4.630018446  
gimp           89.262581760   0.000000041    26107261     1744529      6.682160185  
gimp           91.410065408   0.000000029    26107261     2386134      9.139733195  
gimp           93.128052326   0.000000017    26107261     3143256      12.039776980 
gimp           94.502441861   0.000000011    26107261     4138075      15.850283950 
gimp           95.601953489   0.000000007    26107261     5347738      20.483719070 
gimp           96.481562791   0.000000005    26107261     6731656      25.784612181 
gimp           97.185250233   0.000000004    26107261     8304846      31.810483681 
gimp           97.748200186   0.000000002    26107261     10118478     38.757332682 
gimp           98.198560149   0.000000002    26107261     11933310     45.708778106 
gimp           98.558848119   0.000000001    26107261     14492337     55.510752354 
gimp           98.847078495   0.000000001    26107261     16815322     64.408602649 
gimp           99.077662796   0.000000001    26107261     18673709     71.526879055 
gimp           99.262130237   0.000000001    26107261     20160419     77.221501712 
gimp           99.409704190   0.000000001    26107261     21349787     81.777199837 
gimp           99.527763352   0.000000001    26107261     22301282     85.421760636 
gimp           99.622210681   0.000000001    26107261     23062477     88.337405444 
gimp           99.697768545   0.000000001    26107261     23671434     90.669925122 
gimp           99.758214836   0.000000001    26107261     24158599     92.535938565 
gimp           99.806571869   0.000000001    26107261     24548331     94.028749320 
gimp           99.845257495   0.000000001    26107261     24860117     95.222999456 
gimp           100.000000000  0.000000000    26107261     26107261     100.000000000 
