#benchmark     deg overlap    max phi        CCT nodes    hot nodes    (%)          
gwenview       0.000000000    0.122131929    9987922      0            0.000000000  
gwenview       20.000000000   0.122131929    9987922      1            0.000010012  
gwenview       36.000000000   0.008788488    9987922      10           0.000100121  
gwenview       48.800000000   0.000124367    9987922      289          0.002893495  
gwenview       59.040000000   0.000117153    9987922      1155         0.011563967  
gwenview       67.232000000   0.000018270    9987922      3802         0.038065976  
gwenview       73.785600000   0.000018128    9987922      7415         0.074239667  
gwenview       79.028480000   0.000007236    9987922      11738        0.117521943  
gwenview       83.222784000   0.000002409    9987922      23045        0.230728674  
gwenview       86.578227200   0.000001152    9987922      44672        0.447260201  
gwenview       89.262581760   0.000000422    9987922      84623        0.847253313  
gwenview       91.410065408   0.000000174    9987922      163410       1.636076053  
gwenview       93.128052326   0.000000097    9987922      291519       2.918715224  
gwenview       94.502441861   0.000000075    9987922      462413       4.629721778  
gwenview       95.601953489   0.000000038    9987922      657883       6.586785520  
gwenview       96.481562791   0.000000024    9987922      942177       9.433163375  
gwenview       97.185250233   0.000000014    9987922      1344755      13.463811592 
gwenview       97.748200186   0.000000008    9987922      1877109      18.793789139 
gwenview       98.198560149   0.000000006    9987922      2515563      25.186049711 
gwenview       98.558848119   0.000000004    9987922      3302600      33.065937039 
gwenview       98.847078495   0.000000002    9987922      4283806      42.889862376 
gwenview       99.077662796   0.000000002    9987922      5424629      54.311887898 
gwenview       99.262130237   0.000000002    9987922      6337287      63.449504311 
gwenview       99.409704190   0.000000002    9987922      7067414      70.759603449 
gwenview       99.527763352   0.000000002    9987922      7651515      76.607676752 
gwenview       99.622210681   0.000000002    9987922      8118796      81.286137397 
gwenview       99.697768545   0.000000002    9987922      8492621      85.028907915 
gwenview       99.758214836   0.000000002    9987922      8791681      88.023124330 
gwenview       99.806571869   0.000000002    9987922      9030929      90.418497461 
gwenview       99.845257495   0.000000002    9987922      9222327      92.334791962 
gwenview       100.000000000  0.000000000    9987922      9987922      100.000000000 
