#benchmark     deg overlap    max phi        CCT nodes    hot nodes    (%)          
inkscape       0.000000000    0.009528956    13896175     0            0.000000000  
inkscape       20.000000000   0.000079252    13896175     1008         0.007253795  
inkscape       36.000000000   0.000015808    13896175     6314         0.045436964  
inkscape       48.800000000   0.000006221    13896175     18943        0.136318088  
inkscape       59.040000000   0.000002928    13896175     43746        0.314806053  
inkscape       67.232000000   0.000001533    13896175     80605        0.580051705  
inkscape       73.785600000   0.000000698    13896175     146349       1.053160312  
inkscape       79.028480000   0.000000470    13896175     233975       1.683736712  
inkscape       83.222784000   0.000000244    13896175     361825       2.603774060  
inkscape       86.578227200   0.000000144    13896175     545151       3.923029179  
inkscape       89.262581760   0.000000098    13896175     778998       5.605844774  
inkscape       91.410065408   0.000000062    13896175     1054747      7.590196583  
inkscape       93.128052326   0.000000041    13896175     1394401      10.034423142 
inkscape       94.502441861   0.000000027    13896175     1808188      13.012127438 
inkscape       95.601953489   0.000000021    13896175     2258760      16.254544866 
inkscape       96.481562791   0.000000015    13896175     2772272      19.949892686 
inkscape       97.185250233   0.000000009    13896175     3362800      24.199464961 
inkscape       97.748200186   0.000000007    13896175     4027137      28.980183396 
inkscape       98.198560149   0.000000004    13896175     4795687      34.510842012 
inkscape       98.558848119   0.000000003    13896175     5725597      41.202683472 
inkscape       98.847078495   0.000000003    13896175     6699694      48.212504520 
inkscape       99.077662796   0.000000001    13896175     7661950      55.137115069 
inkscape       99.262130237   0.000000001    13896175     8908795      64.109692056 
inkscape       99.409704190   0.000000001    13896175     9906271      71.287753644 
inkscape       99.527763352   0.000000001    13896175     10704251     77.030197159 
inkscape       99.622210681   0.000000001    13896175     11342636     81.624159166 
inkscape       99.697768545   0.000000001    13896175     11853343     85.299321576 
inkscape       99.758214836   0.000000001    13896175     12261909     88.239454382 
inkscape       99.806571869   0.000000001    13896175     12588762     90.591562067 
inkscape       99.845257495   0.000000001    13896175     12850244     92.473245335 
inkscape       100.000000000  0.000000000    13896175     13896175     100.000000000 
