#benchmark     deg overlap    max phi        CCT nodes    hot nodes    (%)          
oocalc         0.000000000    0.001188383    48310585     0            0.000000000  
oocalc         20.000000000   0.000018735    48310585     3219         0.006663136  
oocalc         36.000000000   0.000002031    48310585     31185        0.064551071  
oocalc         48.800000000   0.000000595    48310585     160693       0.332624827  
oocalc         59.040000000   0.000000299    48310585     424771       0.879250375  
oocalc         67.232000000   0.000000170    48310585     795662       1.646972397  
oocalc         73.785600000   0.000000098    48310585     1307963      2.707404599  
oocalc         79.028480000   0.000000056    48310585     2045969      4.235032550  
oocalc         83.222784000   0.000000027    48310585     3145045      6.510053646  
oocalc         86.578227200   0.000000016    48310585     4775687      9.885384331  
oocalc         89.262581760   0.000000011    48310585     6839712      14.157791714 
oocalc         91.410065408   0.000000007    48310585     9414941      19.488360574 
oocalc         93.128052326   0.000000004    48310585     13151850     27.223537036 
oocalc         94.502441861   0.000000002    48310585     17993086     37.244603848 
oocalc         95.601953489   0.000000002    48310585     24056586     49.795683493 
oocalc         96.481562791   0.000000002    48310585     28907385     59.836545138 
oocalc         97.185250233   0.000000002    48310585     32788025     67.869236110 
oocalc         97.748200186   0.000000002    48310585     35892537     74.295388888 
oocalc         98.198560149   0.000000002    48310585     38376146     79.436309869 
oocalc         98.558848119   0.000000002    48310585     40363033     83.549046239 
oocalc         98.847078495   0.000000002    48310585     41952543     86.839236163 
oocalc         99.077662796   0.000000002    48310585     43224151     89.471388103 
oocalc         99.262130237   0.000000002    48310585     44241438     91.577110896 
oocalc         99.409704190   0.000000002    48310585     45055267     93.261687889 
oocalc         99.527763352   0.000000002    48310585     45706330     94.609349069 
oocalc         99.622210681   0.000000002    48310585     46227181     95.687479255 
oocalc         99.697768545   0.000000002    48310585     46643861     96.549981748 
oocalc         99.758214836   0.000000002    48310585     46977206     97.239985813 
oocalc         99.806571869   0.000000002    48310585     47243881     97.791986994 
oocalc         99.845257495   0.000000002    48310585     47457222     98.233590009 
oocalc         100.000000000  0.000000000    48310585     48310585     100.000000000 
