#benchmark     deg overlap    max phi        CCT nodes    hot nodes    (%)          
ooimpress      0.000000000    0.002670605    43068214     0            0.000000000  
ooimpress      20.000000000   0.000043390    43068214     1250         0.002902373  
ooimpress      36.000000000   0.000006780    43068214     11991        0.027841879  
ooimpress      48.800000000   0.000001368    43068214     58402        0.135603487  
ooimpress      59.040000000   0.000000457    43068214     195510       0.453954278  
ooimpress      67.232000000   0.000000221    43068214     463891       1.077107586  
ooimpress      73.785600000   0.000000122    43068214     862207       2.001956710  
ooimpress      79.028480000   0.000000063    43068214     1472308      3.418549002  
ooimpress      83.222784000   0.000000033    43068214     2392347      5.554785717  
ooimpress      86.578227200   0.000000022    43068214     3633478      8.436565305  
ooimpress      89.262581760   0.000000015    43068214     5167465      11.998326655 
ooimpress      91.410065408   0.000000010    43068214     6974786      16.194741672 
ooimpress      93.128052326   0.000000007    43068214     9091426      21.109363857 
ooimpress      94.502441861   0.000000004    43068214     11655436     27.062733551 
ooimpress      95.601953489   0.000000003    43068214     14823891     34.419562882 
ooimpress      96.481562791   0.000000003    43068214     18034973     41.875367760 
ooimpress      97.185250233   0.000000001    43068214     22517290     52.282850642 
ooimpress      97.748200186   0.000000001    43068214     26627474     61.826278656 
ooimpress      98.198560149   0.000000001    43068214     29915622     69.461022925 
ooimpress      98.558848119   0.000000001    43068214     32546140     75.568817411 
ooimpress      98.847078495   0.000000001    43068214     34650555     80.455054393 
ooimpress      99.077662796   0.000000001    43068214     36334086     84.364041657 
ooimpress      99.262130237   0.000000001    43068214     37680911     87.491231933 
ooimpress      99.409704190   0.000000001    43068214     38758372     89.992986475 
ooimpress      99.527763352   0.000000001    43068214     39620340     91.994388251 
ooimpress      99.622210681   0.000000001    43068214     40309914     93.595508743 
ooimpress      99.697768545   0.000000001    43068214     40861574     94.876406995 
ooimpress      99.758214836   0.000000001    43068214     41302902     95.901125596 
ooimpress      99.806571869   0.000000001    43068214     41655964     96.720899548 
ooimpress      99.845257495   0.000000001    43068214     41938414     97.376719638 
ooimpress      100.000000000  0.000000000    43068214     43068214     100.000000000 
