#benchmark     deg overlap    max phi        CCT nodes    hot nodes    (%)          
oowriter       0.000000000    0.004190153    41395182     0            0.000000000  
oowriter       20.000000000   0.000023939    41395182     3042         0.007348681  
oowriter       36.000000000   0.000004651    41395182     18582        0.044889282  
oowriter       48.800000000   0.000001907    41395182     62228        0.150326673  
oowriter       59.040000000   0.000000619    41395182     165044       0.398703405  
oowriter       67.232000000   0.000000305    41395182     354490       0.856355699  
oowriter       73.785600000   0.000000144    41395182     659922       1.594200021  
oowriter       79.028480000   0.000000074    41395182     1148452      2.774361519  
oowriter       83.222784000   0.000000039    41395182     1923399      4.646432041  
oowriter       86.578227200   0.000000023    41395182     3053345      7.376087874  
oowriter       89.262581760   0.000000014    41395182     4597217      11.105681333 
oowriter       91.410065408   0.000000007    41395182     6689991      16.161279349 
oowriter       93.128052326   0.000000005    41395182     9428835      22.777614554 
oowriter       94.502441861   0.000000004    41395182     13041421     31.504683323 
oowriter       95.601953489   0.000000002    41395182     16600591     40.102712920 
oowriter       96.481562791   0.000000002    41395182     21559509     52.082169853 
oowriter       97.185250233   0.000000002    41395182     25526644     61.665736848 
oowriter       97.748200186   0.000000002    41395182     28700351     69.332588029 
oowriter       98.198560149   0.000000002    41395182     31239317     75.466069940 
oowriter       98.558848119   0.000000002    41395182     33270490     80.372855952 
oowriter       98.847078495   0.000000002    41395182     34895428     84.298283795 
oowriter       99.077662796   0.000000002    41395182     36195378     87.438625104 
oowriter       99.262130237   0.000000002    41395182     37235339     89.950900566 
oowriter       99.409704190   0.000000002    41395182     38067307     91.960719003 
oowriter       99.527763352   0.000000002    41395182     38732882     93.568575203 
oowriter       99.622210681   0.000000002    41395182     39265342     94.854860162 
oowriter       99.697768545   0.000000002    41395182     39691309     95.883885714 
oowriter       99.758214836   0.000000002    41395182     40032084     96.707109538 
oowriter       99.806571869   0.000000002    41395182     40304703     97.365686181 
oowriter       99.845257495   0.000000002    41395182     40522798     97.892547012 
oowriter       100.000000000  0.000000000    41395182     41395182     100.000000000 
