#benchmark     deg overlap    max phi        CCT nodes    hot nodes    (%)          
pidgin         0.000000000    0.001095209    10743073     0            0.000000000  
pidgin         20.000000000   0.000036678    10743073     1052         0.009792356  
pidgin         36.000000000   0.000009252    10743073     9959         0.092701595  
pidgin         48.800000000   0.000002969    10743073     36748        0.342062276  
pidgin         59.040000000   0.000001485    10743073     90492        0.842328820  
pidgin         67.232000000   0.000000988    10743073     155172       1.444391190  
pidgin         73.785600000   0.000000608    10743073     241094       2.244180971  
pidgin         79.028480000   0.000000334    10743073     356951       3.322615419  
pidgin         83.222784000   0.000000203    10743073     525869       4.894958826  
pidgin         86.578227200   0.000000119    10743073     736649       6.856967276  
pidgin         89.262581760   0.000000084    10743073     1000008      9.308398072  
pidgin         91.410065408   0.000000057    10743073     1320593      12.292506995 
pidgin         93.128052326   0.000000044    10743073     1648131      15.341336692 
pidgin         94.502441861   0.000000032    10743073     1990368      18.526989438 
pidgin         95.601953489   0.000000027    10743073     2377610      22.131563287 
pidgin         96.481562791   0.000000017    10743073     2787303      25.945118310 
pidgin         97.185250233   0.000000015    10743073     3246487      30.219351577 
pidgin         97.748200186   0.000000010    10743073     3754739      34.950325666 
pidgin         98.198560149   0.000000005    10743073     4375531      40.728858493 
pidgin         98.558848119   0.000000005    10743073     5104732      47.516497375 
pidgin         98.847078495   0.000000002    10743073     6076186      56.559105574 
pidgin         99.077662796   0.000000002    10743073     7009563      65.247280736 
pidgin         99.262130237   0.000000002    10743073     7756265      72.197824589 
pidgin         99.409704190   0.000000002    10743073     8353626      77.758254086 
pidgin         99.527763352   0.000000002    10743073     8831515      82.206599546 
pidgin         99.622210681   0.000000002    10743073     9213827      85.765283360 
pidgin         99.697768545   0.000000002    10743073     9519676      88.612224826 
pidgin         99.758214836   0.000000002    10743073     9764355      90.889776138 
pidgin         99.806571869   0.000000002    10743073     9960098      92.711815325 
pidgin         99.845257495   0.000000002    10743073     10116693     94.169452260 
pidgin         100.000000000  0.000000000    10743073     10743073     100.000000000 
