#benchmark     deg overlap    max phi        CCT nodes    hot nodes    (%)          
quanta         0.000000000    0.003168144    27426654     0            0.000000000  
quanta         20.000000000   0.000120010    27426654     772          0.002814780  
quanta         36.000000000   0.000025670    27426654     3710         0.013526987  
quanta         48.800000000   0.000006418    27426654     15274        0.055690351  
quanta         59.040000000   0.000002311    27426654     41302        0.150590736  
quanta         67.232000000   0.000001122    27426654     89917        0.327845314  
quanta         73.785600000   0.000000468    27426654     190723       0.695392883  
quanta         79.028480000   0.000000222    27426654     352259       1.284367389  
quanta         83.222784000   0.000000110    27426654     620056       2.260778876  
quanta         86.578227200   0.000000065    27426654     1010216      3.683336655  
quanta         89.262581760   0.000000040    27426654     1537893      5.607293547  
quanta         91.410065408   0.000000023    27426654     2236890      8.155898273  
quanta         93.128052326   0.000000013    27426654     3215369      11.723519026 
quanta         94.502441861   0.000000008    27426654     4474759      16.315366067 
quanta         95.601953489   0.000000007    27426654     5983238      21.815413575 
quanta         96.481562791   0.000000003    27426654     7985782      29.116865659 
quanta         97.185250233   0.000000002    27426654     10470335     38.175765079 
quanta         97.748200186   0.000000002    27426654     13861599     50.540612792 
quanta         98.198560149   0.000000002    27426654     16574609     60.432486588 
quanta         98.558848119   0.000000002    27426654     18745018     68.345989270 
quanta         98.847078495   0.000000002    27426654     20481345     74.676790687 
quanta         99.077662796   0.000000002    27426654     21870406     79.741429633 
quanta         99.262130237   0.000000002    27426654     22981656     83.793145165 
quanta         99.409704190   0.000000002    27426654     23870655     87.034513944 
quanta         99.527763352   0.000000002    27426654     24581855     89.627611884 
quanta         99.622210681   0.000000002    27426654     25150814     91.702086591 
quanta         99.697768545   0.000000002    27426654     25605982     93.361669273 
quanta         99.758214836   0.000000002    27426654     25970116     94.689333960 
quanta         99.806571869   0.000000002    27426654     26261423     95.751464980 
quanta         99.845257495   0.000000002    27426654     26494469     96.601171255 
quanta         100.000000000  0.000000000    27426654     27426654     100.000000000 
