#benchmark     deg overlap    max phi        CCT nodes    hot nodes    (%)          
sudoku         0.000000000    0.001797985    2794177      0            0.000000000  
sudoku         20.000000000   0.000277743    2794177      579          0.020721665  
sudoku         36.000000000   0.000057507    2794177      2010         0.071935314  
sudoku         48.800000000   0.000043066    2794177      4618         0.165272279  
sudoku         59.040000000   0.000029833    2794177      7448         0.266554338  
sudoku         67.232000000   0.000012116    2794177      11523        0.412393345  
sudoku         73.785600000   0.000008946    2794177      17064        0.610698606  
sudoku         79.028480000   0.000005961    2794177      24471        0.875785607  
sudoku         83.222784000   0.000004209    2794177      33705        1.206258587  
sudoku         86.578227200   0.000004209    2794177      41677        1.491566211  
sudoku         89.262581760   0.000003976    2794177      48085        1.720900287  
sudoku         91.410065408   0.000002237    2794177      56277        2.014081427  
sudoku         93.128052326   0.000001755    2794177      64700        2.315529761  
sudoku         94.502441861   0.000000994    2794177      75264        2.693601730  
sudoku         95.601953489   0.000000371    2794177      93855        3.358949701  
sudoku         96.481562791   0.000000249    2794177      126270       4.519040848  
sudoku         97.185250233   0.000000147    2794177      162972       5.832558209  
sudoku         97.748200186   0.000000080    2794177      214539       7.678074796  
sudoku         98.198560149   0.000000049    2794177      291626       10.436919350 
sudoku         98.558848119   0.000000031    2794177      385844       13.808860355 
sudoku         98.847078495   0.000000021    2794177      498592       17.843966220 
sudoku         99.077662796   0.000000015    2794177      632727       22.644485299 
sudoku         99.262130237   0.000000009    2794177      794177       28.422573087 
sudoku         99.409704190   0.000000006    2794177      1008006      36.075237897 
sudoku         99.527763352   0.000000003    2794177      1254945      44.912867009 
sudoku         99.622210681   0.000000003    2794177      1562791      55.930279292 
sudoku         99.697768545   0.000000003    2794177      1809068      64.744216275 
sudoku         99.758214836   0.000000003    2794177      2006089      71.795344389 
sudoku         99.806571869   0.000000003    2794177      2163707      77.436289827 
sudoku         99.845257495   0.000000003    2794177      2289800      81.948996073 
sudoku         100.000000000  0.000000000    2794177      2794177      100.000000000 
