#benchmark     deg overlap    max phi        CCT nodes    hot nodes    (%)          
vlc            0.000000000    0.003629722    3295907      0            0.000000000  
vlc            20.000000000   0.000107775    3295907      1059         0.032130761  
vlc            36.000000000   0.000058787    3295907      3204         0.097211481  
vlc            48.800000000   0.000029393    3295907      6271         0.190266291  
vlc            59.040000000   0.000014406    3295907      11673        0.354166547  
vlc            67.232000000   0.000011129    3295907      17448        0.529383869  
vlc            73.785600000   0.000009798    3295907      23801        0.722138094  
vlc            79.028480000   0.000008355    3295907      29217        0.886463119  
vlc            83.222784000   0.000005485    3295907      36620        1.111075039  
vlc            86.578227200   0.000005477    3295907      42738        1.296699209  
vlc            89.262581760   0.000004799    3295907      48077        1.458688003  
vlc            91.410065408   0.000002033    3295907      55299        1.677808263  
vlc            93.128052326   0.000000741    3295907      70355        2.134617269  
vlc            94.502441861   0.000000255    3295907      102421       3.107520934  
vlc            95.601953489   0.000000112    3295907      168403       5.109458489  
vlc            96.481562791   0.000000056    3295907      279939       8.493534557  
vlc            97.185250233   0.000000032    3295907      439253       13.327226769 
vlc            97.748200186   0.000000016    3295907      661974       20.084729332 
vlc            98.198560149   0.000000008    3295907      1036236      31.440086143 
vlc            98.558848119   0.000000008    3295907      1488170      45.152062846 
vlc            98.847078495   0.000000008    3295907      1849717      56.121638141 
vlc            99.077662796   0.000000008    3295907      2138955      64.897310513 
vlc            99.262130237   0.000000008    3295907      2370345      71.917836274 
vlc            99.409704190   0.000000008    3295907      2555457      77.534256883 
vlc            99.527763352   0.000000008    3295907      2703547      82.027405506 
vlc            99.622210681   0.000000008    3295907      2822018      85.621894064 
vlc            99.697768545   0.000000008    3295907      2916796      88.497521320 
vlc            99.758214836   0.000000008    3295907      2992618      90.798010988 
vlc            99.806571869   0.000000008    3295907      3053275      92.638384518 
vlc            99.845257495   0.000000008    3295907      3101801      94.110695478 
vlc            100.000000000  0.000000000    3295907      3295907      100.000000000 
