#benchmark  CCT CCT_burst   LSS LSS_burst
amarok  269464  49016   1636    1636
ark 159660  34312   1636    1492
audacity    256580  61344   1636    1492
bluefish    142012  43556   1636    1492
dolphin 227868  70724   1636    1492
firefox 591868  175208  1924    1924
gedit   81652   31232   1636    1492
ghex2   36412   14004   1492    1492
gimp    510076  134592  1780    1636
sudoku  54480   16664   1636    1492
gwenview    195096  50276   1636    1492
inkscape    271424  91452   1636    1636
oocalc  944584  205460  1636    1636
ooimpress   841448  226328  1636    1636
oowriter    808812  193132  1636    1636
pidgin  209800  75348   1636    1636
quanta  535848  129688  1636    1636
vlc 64284   14424   1636    1492
#botan  6041    1920    1484    1484
#cairo-perf-trace   2700    2520    1400    1400
crafty  711759  444946  1960    1988
ice-labyrinth   42268   33686   1428    1428
mount-herring   73174   54570   1456    1456
overworld   73774   29325   1596    1596
scotland    35366   15303   1596    1568
